player_name
Jordan Pickford
Declan Rice
John Stones
Kyle Walker
Jude Bellingham
Bukayo Saka
Phil Foden
Harry Kane
Marc Guéhi
Theo Hernández
Jules Koundé
Mike Maignan
William Saliba
Unai Simón
Dayot Upamecano
Marc Cucurella
Fabián Ruiz Peña
Virgil van Dijk
Bart Verbruggen
Stefan de Vrij
Aymeric Laporte
Cody Gakpo
Rodri
N'Golo Kanté
Diogo Costa
Lamine Yamal
Jerdy Schouten
Tijjani Reijnders
Nico Williams
Cristiano Ronaldo
Manuel Akanji
Joshua Kimmich
Manuel Neuer
Ricardo Rodríguez
Antonio Rüdiger
Fabian Schär
Yann Sommer
Granit Xhaka
Michel Aebischer
Nathan Aké
Aurélien Tchouaméni
Dani Carvajal
Toni Kroos
Kylian Mbappé
Memphis
Remo Freuler
Xavi Simons
Kieran Trippier
Barış Alper Yılmaz
Ferdi Kadioglu
Álvaro Morata
Denzel Dumfries
Robin Le Normand
Dani Olmo
Rúben Dias
Bernardo Silva
Jamal Musiala
Nuno Mendes
Pepe
Dan Ndoye
Antoine Griezmann
Jaka Bijol
Vanja Drkušič
Martin Dúbravka
Adam Gnezda Čerin
Žan Karničnik
Stanislav Lobotka
Jan Oblak
Milan Škriniar
Denis Vavro
Kai Havertz
İlkay Gündoğan
Peter Pekarík
Bruno Fernandes
Adrien Rabiot
Kobbie Mainoo
Dávid Hancko
Ousmane Dembélé
Joachim Andersen
Abdülkerim Bardakcı
Alessandro Bastoni
Andrei Burcă
Koen Casteels
Kevin De Bruyne
Giovanni Di Lorenzo
Gianluigi Donnarumma
Radu Drăgușin
Lasha Dvali
Wout Faes
Mert Günok
Otar Kakabadze
Guram Kashia
Giorgi Kochorashvili
Giorgi Mamardashvili
Florin Niță
Amadou Onana
Patrick Pentz
Stefan Posch
Marcel Sabitzer
Kasper Schmeichel
Nicolas Seiwald
Jannik Vestergaard
Timi Elšnik
Romelu Lukaku
Andrei Ratiu
Kaan Ayhan
Benjamin Šeško
Vitinha
Timothy Castagne
Hakan Çalhanoğlu
Răzvan Marin
Pierre Højbjerg
Nicolae Stanciu
Andreas Christensen
Juraj Kucka
Christian Eriksen
Kenan Yıldız
João Cancelo
Georges Mikautadze
Mert Müldür
Khvicha Kvaratskhelia
Arda Güler
Andraž Šporar
Samet Akaydın
Nicolò Barella
Ivan Schranz
Jeremy Doku
Jonathan Tah
Robert Andrich
Ondrej Duda
Petar Stojanović
Ruben Vargas
Maximilian Mittelstädt
Marius Marin
João Palhinha
Silvan Widmer
Breel Embolo
Jan Mlakar
Denis Drăguș
Christoph Baumgartner
Rafael Leão
Rasmus Højlund
Joakim Mæhle
Alexander Bah
Florian Wirtz
Marko Arnautović
Konrad Laimer
Arlind Ajeti
Kristjan Asllani
Nicușor Bancu
Jan Bednarek
Riccardo Calafiori
Vladimír Coufal
Berat Djimsiti
Przemysław Frankowski
Péter Gulácsi
Angus Gunn
Joško Gvardiol
Robin Hranáč
Jakub Kiwior
Ladislav Krejčí
Dominik Livaković
Mykola Matviyenko
Scott McTominay
Nikola Milenković
Mario Mitaj
Willi Orban
Strahinja Pavlović
Predrag Rajković
András Schäfer
Tomáš Souček
Thomas Strakosha
Josip Šutalo
Dominik Szoboszlai
Miloš Veljković
Jan Vertonghen
Illia Zabarnyi
Tomáš Holeš
Erik Janža
Andrew Robertson
Dennis Man
Roland Sallai
Lukáš Haraslín
Ylber Ramadani
Federico Chiesa
Nacho
Anthony Ralston
Heorhiy Sudakov
Jack Hendry
Marcus Thuram
Arthur Theate
Piotr Zieliński
Gianluca Scamacca
Barnabás Varga
Nicola Zalewski
Artem Dovbyk
Callum McGregor
Nedim Bajrami
Morten Hjulmand
Giorgi Chakvetadze
Andrija Živković
Andrej Kramarić
Aleksandar Mitrović
Milos Kerkez
Jindřich Staněk
Luka Modrić
Lukáš Provod
John McGinn
Federico Dimarco
Marcelo Brozović
Grant Hanley
Mateo Kovačić
Orkun Kökçü
Mykola Shaparenko
Fabian Rieder
Yannick Carrasco
Lorenzo Pellegrini
Jorginho
Philipp Lienhart
Oleksandr Zinchenko
Kevin Danso
Jasir Asani
Joey Veerman
Che Adams
Saša Lukić
Leroy Sané
Róbert Boženík
Merih Demiral
Bendegúz Bolla
Mikel Oyarzabal
Randal Kolo Muani
Ivan Ilić
Oleksandr Tymchyk
Florian Grillitsch
Phillipp Mwene
Jonas Wind
Donyell Malen
Heorhii Tsitaishvili
Ianis Hagi
Anzor Mekvabishvili
Pedri
Davide Frattesi
Billy Gilmour
Mikel Merino
Francisco Conceição
Dávid Strelec
Volodymyr Brazhko
Saba Kvirkvelia
Jakub Moder
Paweł Dawidowicz
Attila Fiola
Elseid Hysaj
Marin Pongračić
Josip Stanišić
Wojciech Szczęsny
Anatolii Trubin
Luke Shaw
Dušan Vlahović
Márton Dárdai
Maximilian Wöber
Mykhailo Mudryk
Luka Lochoshvili
Eduardo Camavinga
Leandro Trossard
Niclas Füllkrug
Alexander Prass
David Raum
Qazim Laçi
Giorgi Gwelesiani
Matteo Darmian
David Jurásek
Ádám Nagy
Jesús Navas
Victor Bernth Kristiansen
Rey Manaj
Dušan Tadić
Ferrán Torres
Salih Özcan
Mateo Retegui
İsmail Yüksek
Diogo Dalot
Cole Palmer
Adam Buksa
Youri Tielemans
Kacper Urbanski
Lovro Majer
Romano Schmid
Martín Zubimendi
Luka Sučić
Ivan Perišić
Wout Weghorst
Patrick Wimmer
Kieran Tierney
Trent Alexander-Arnold
Scott McKenna
Orel Mangala
Bryan Cristante
Otar Kiteishvili
Patrik Schick
Michael Gregoritsch
Tomáš Suslov
Rúben Neves
Daniel Vivian
Ante Budimir
Andreas Skov Olsen
Sergej Milinković-Savić
Roman Yaremchuk
Jure Balkovec
Robert Lewandowski
Conor Gallagher
Pedro Neto
Nico Schlotterbeck
Florinel Coman
Gonçalo Inácio
Mario Pašalić
Zuriko Davitashvili
Valentin Mihaila
Álex Grimaldo
Sebastian Szymański
Filip Mladenović
Bartosz Slisz
Armando Broja
Lutsharel Geertruida
Adam Hložek
Mojmir Chytil
Kwadwo Duah
Kerem Aktürkoğlu
Zeki Çelik
João Félix
Andriy Yarmolenko
Zeno Debast
Bradley Barcola
Emre Can
Eberechi Eze
Luka Jović
Nélson Semedo
Diogo Jota
